rank, address, quantity, percentage
72, 0xf6355067ce4830d1a3619311f68c0f8d8bbe1228, 9490.921, 0.1553
73, 0x1d894099b81e178c63cb558b6aaa5dd79ebd4da7, 9439.6906, 0.1545
74, 0x957d53722e2ceac44703bf8f68d157cfc73bcdca, 9260.528258715918329248, 0.1516
75, 0x487e23d31d0100791309baae0a909141e439e4ab, 9233.9368, 0.1511
76, 0x185dc1b737e69f1c65876f0122c3a868ae55c57f, 9215.033544, 0.1508
77, 0xc175ad4523ee23581e08a50bc1d4980fe63af0a7, 9018.162024, 0.1476
78, 0x155792f69b81eef98ec2e3bb54ba5314f6687eeb, 8997.88020312, 0.1473
79, 0xb7e97a3c9d75f81931fe1159b5a917535e35252e, 8951.42933649, 0.1465
80, 0x422965b9514fff24ef2f2f42205779a40ef6284f, 8547.624, 0.1399
81, 0xaa3b1fdc3aa57bf24418e397f8c80e7385aaa594, 8425.831916823631241172, 0.1379
82, 0x89934cf95c8ffa4d748b3a9963fad13dba52c52f, 8248.647170385623574922, 0.1350
83, 0x6a116b531eb60d4f5e2ab31fbcaec5c962865f87, 8099.9518, 0.1326
84, 0xefafad131feb58fffd1ccb7937495ec5025f205a, 8000.14133, 0.1309
85, 0xacd609701dec8f20a611e77c93814aa529a04cc8, 7621.204926567550949521, 0.1247
86, 0x6831914fe5bada59c46cb8670038dc67dd7b988a, 7591.43194, 0.1242
87, 0xb5fb13e5cc8906e9e4eaf36ad73a2ff05669f2fe, 7533.921492496614071105, 0.1233
88, 0xec7e706bef9f1d4b9db3492aa2d551a6cd7884c4, 7527.3972, 0.1232
89, 0x19509351621ca7e26347169ab95b8d106c46f56e, 7482.5315, 0.1225
90, 0xb106aea14e33e65a28c863d8e954e31ae1c77427, 7469.943, 0.1223
91, 0x1a248a3bc16cedf5747246d29ebefa8b1b9f506c, 7336.45340172, 0.1201
92, 0xc2ea576699359240338d8ad06833b6bc9286dd6b, 7259.97358464, 0.1188
93, 0x6e8675d30459f5ff9fd73c4f11ec87135c744592, 7200, 0.1178
94, 0x590e3258d27e3520d86d9ab8a157754136b2f303, 7140.41759675, 0.1169
95, 0xea536b5be83a0762e42f34b5ec973253466ded5a, 7099.911, 0.1162
96, 0x5959eeacda3652cf3816af17242fc6cb78f66e5c, 6866.976, 0.1124
97, 0xcaabda10a3ac99fc15f5b636aa18e6b4fd8db16d, 6690.816581947281321553, 0.1095
98, 0x3fd9d0fe3d9b5cf7cd2ae56c16aec5b672e7296b, 6618.01508517, 0.1083
99, 0x54eeb2600cf9144f1d096c562be7f623395f3e80, 6544.387389146149268523, 0.1071
100, 0x727ee45e05ec854d82fdc76cec9324aeee399cf5, 6514.612, 0.1066
101, 0x5ca9120fa24ee977039812848b376de6beb3936b, 6484.525562100360353152, 0.1061
102, 0xcd7f6484710d5321fd9afbc9159c182d39a08e3c, 6480.12262, 0.1061
103, 0x08f594eae855fd0d14843ddbef31a25df0a3a8bd, 6411.27301, 0.1049
104, 0x3bd98f1cf11ec7ca727072b95345d00049f441a5, 6251.53044012, 0.1023
105, 0x641c7a531d7d7463aa4a81ed651102e90f6b0865, 6206.144323091005400652, 0.1016
106, 0xe7d9c87f4d8f2c397015b0e5fdeeecb3cd4d98da, 6119.515369370011771, 0.1002
107, 0xb56ffefe94b19864a6927727b9323c7d6eed8880, 6057.38631546, 0.0991
108, 0xfea8cc60e722d29292392b4822b8b027e07f59f0, 6037.40840183, 0.0988
109, 0x0ee38ea6c044bb4ec2fbbca09e043e4c52adfe80, 5955.31299293, 0.0975
110, 0x45b8d65d8e0a1d51489ffb2e658ade217c4504cb, 5817.893635851590564414, 0.0952
111, 0x33c8c05b707034b3d62b95d3b3c994fde63d6619, 5801.628526733684945535, 0.0950
112, 0x76bb8f88e5fff15ef2ddd6c65986e4de49c2f9d2, 5789.874011514967792607, 0.0948
113, CoinDCX 1, 5750.981, 0.0941
114, 0x7e381ceb32b7657b578f57420b3da0756872ad08, 5708.862037733269121012, 0.0934
115, 0x7cccf66db1a0d4069a52a0c26859edbc34177065, 5701.144654215621378466, 0.0933
116, 0xd093718863716614bd87d6be8c1186b8cfc7c458, 5595.036, 0.0916
117, 0xb3be691b13861fe467b18fc8d4334c58a7a1b090, 5501.92890803, 0.0900
118, 0xee8a436843bfaf3bef0bb22f802c5b97f0d7d21b, 5499.22401, 0.0900
119, 0xdd72d83ff848bd46e3c45085aad9235f023ae88b, 5416.47101901, 0.0886
120, 0x445d1e06dd190626aae5fc243adb18cddccb0c0a, 5305.724817561882653179, 0.0868
121, 0xac9caad432a2914ff74fabcecd94d52520eba18b, 5288.579290496478899451, 0.0866
122, 0x81acebb79989538fa719df999b0b16e1f810670f, 5285.59499999, 0.0865
123, 0x6857bec2f02b9b15548fec6f8ddce6d18306df7d, 5247.328489619711801933, 0.0859
124, 0xc78248d676debb4597e88071d3d889eca70e5469, 5178.991894596278113591, 0.0848
125, 0x53282b28f652f2eb8c7eeb45e226f19829b16fb4, 5143.609342362709720473, 0.0842
126, 0x844574f24f7fe59c35279d6f5e0e023d135dac6d, 5140.41535756, 0.0841
127, 0x80c67040b1662d2fbff842f8455722b9fd18c87d, 5139.03374784, 0.0841
128, 0x294c954bb6c10ceabcd9ae1b4dc4c783453a62ba, 5120.06059505, 0.0838
129, 0xee15701d05999c1fa03802496bd0510e27277391, 5112.059771247407872, 0.0837
130, 0x191d96ce40b0abd52bc5c449d4260716cf686f6b, 5105.33344845, 0.0836
131, 0xe9be23f8356e1303eff0fe4e4166652a33245217, 5018.41996228, 0.0821
132, 0xd25f7bc0a68cfa565e53ab7e6312e92e29769876, 5013.104, 0.0820
133, 0x25d1b19c5fee255c92769383fd907dff43e9dd8e, 4984.9807, 0.0816
134, 0x2c7ec936c16d94cd46bb3f88d929171b2f77e919, 4915.364280118953222435, 0.0804
135, 0x2164ed9f5e0ac69546205104f23e5be32d3181bd, 4900.08727718, 0.0802
136, 0x22812c401a1efb88f6f57b1f336d3e6ae029dca3, 4890, 0.0800
137, 0x40dc071bda60d2ce4a6df9a8ff6e959a4b812dfb, 4814.908635999999999998, 0.0788
138, 0x77ba919b4516b7950e45b6b7effb44a4e29c32b0, 4771.513792, 0.0781
139, 0x59496b0b68dd3226bbc4ba6c1479c292cb87e762, 4768.93980198, 0.0781
140, 0x1350a7adb979a391243cdcc4f561d2fd0fd19898, 4768.806363948621822994, 0.0780
141, 0xa81b4728b7697161c80bab51ad4489b0c6d9dbba, 4761.139, 0.0779
142, 0x45feff877c7db0bba2ea4947017f5ddd48dfcd14, 4664.600599999997805973, 0.0763
143, 0xdef3edcde8cb4c907775becdc2d42565cf4a99fb, 4619.496502607713257831, 0.0756
144, 0xa77ed1170a5614e358572b9b6270ba30814e19af, 4574.56, 0.0749
145, 0xe704d85385f00d943e32519d48ebd7ccb4591ac8, 4558, 0.0746
146, 0x92261c6730250dc4ac46119dde70953282f861cd, 4542.118539682043527889, 0.0743
147, 0x493144718a78dfbef79f825ae71b29134b5cf60e, 4488.950862776760616429, 0.0735
148, 0x38c97ed335d1cbbd58949df0244d6abec3079025, 4474.07188070713341568, 0.0732
149, 0x441a7c1511fdacfc9965738c8690ba7e3f97ad93, 4370.296795306432868902, 0.0715
150, 0xe2cf7c1d5c2668afd79f2a21c87d5f91aeb59ef0, 4361.67073, 0.0714
151, 0x9458383f4c4378fa46ed9f06e69993c997880316, 4200.943, 0.0688
152, 0xc6180f17e7924b88f8e08b83c2d0767dabd6d196, 4172.302365119723682638, 0.0683
153, 0x378466e996503858dacaca503a8e6afe72521868, 4146.1107956, 0.0679
154, 0x93376bffc0991f5f51d2141ab6aa6b84be99b040, 4145.95, 0.0679
155, Hotbit 2, 4100.092847033925461042, 0.0671
156, 0xdc5e072c4622b4024c8e7174b109a1621c46d2d3, 4085.510986509303347287, 0.0669
157, 0xc1196598724a3c9cc9f5db16dac22fbd2750b50c, 4022.15, 0.0658
158, 0x9338f76553ef5432dd275b080895dd96c0f8f68c, 4020.893681108078790198, 0.0658
159, 0x146eb8959587939b9b20f804b90c867f3e498321, 3980, 0.0651
160, 0x36a593a8458694b8eb5a0786b6253e639e57edcc, 3948.449162237199501098, 0.0646
161, 0x2effd9776a8faacabc22008a31960d321385105f, 3945.2028071, 0.0646
162, 0x04bff11ab06931b509e6744b2dbbad941d8808fc, 3920, 0.0642
163, 0xa6d97792f915f64cf31655ac4a7dbe18d19d95fa, 3915.91285, 0.0641
164, 0x2d527eb5c2d621a2d8abc643909aee4bf4a21af1, 3907.877913, 0.0640
165, 0xa1bc37889d2820503b676059396200e9321b7c44, 3872.38486836, 0.0634
166, 0x4547ce6134b9d5ca0fb9f81778ab1afbe1d8bc27, 3860, 0.0632
167, 0xe98c6702d4faccd2f44715b4f89eceaa8b8fdd20, 3840.224120809263381351, 0.0629
168, 0x553935296d9255bb2d90c00d4bdc4b0668fa770e, 3820, 0.0625
169, 0x1fd07c9490332e83e03dccdb4d8508e31e578d5d, 3806.628984499022122225, 0.0623
